Month and Year,July 1980,August 1980,September 1980,October 1980,November 1980,December 1980,January 1981,February 1981,March 1981,April 1981,May 1981,June 1981,July 1981,August 1981,September 1981,October 1981,November 1981,December 1981,January 1982,February 1982,March 1982,April 1982,May 1982,June 1982,July 1982,August 1982,September 1982,October 1982,November 1982,December 1982,January 1983,February 1983,March 1983,April 1983,May 1983,June 1983,July 1983,August 1983,September 1983,October 1983,November 1983,December 1983,January 1984,February 1984,March 1984,April 1984,May 1984,June 1984,July 1984,August 1984,September 1984,October 1984,November 1984,December 1984,January 1985,February 1985,March 1985,April 1985,May 1985,June 1985,July 1985,August 1985,September 1985,October 1985,November 1985,December 1985,January 1986,February 1986,March 1986,April 1986,May 1986,June 1986,July 1986,August 1986,September 1986,October 1986,November 1986,December 1986,January 1987,February 1987,March 1987,April 1987,May 1987,June 1987,July 1987,August 1987,September 1987,October 1987,November 1987,December 1987,January 1988,February 1988,March 1988,April 1988,May 1988,June 1988,July 1988,August 1988,September 1988,October 1988,November 1988,December 1988,January 1989,February 1989,March 1989,April 1989,May 1989,June 1989,July 1989,August 1989,September 1989,October 1989,November 1989,December 1989,January 1990,February 1990,March 1990,April 1990,May 1990,June 1990,July 1990,August 1990,September 1990,October 1990,November 1990,December 1990,January 1991,February 1991,March 1991,April 1991,May 1991,June 1991,July 1991,August 1991,September 1991,October 1991,November 1991,December 1991,January 1992,February 1992,March 1992,April 1992,May 1992,June 1992,July 1992,August 1992,September 1992,October 1992,November 1992,December 1992,January 1993,February 1993,March 1993,April 1993,May 1993,June 1993,July 1993,August 1993,September 1993,October 1993,November 1993,December 1993,January 1994,February 1994,March 1994,April 1994,May 1994,June 1994,July 1994,August 1994,September 1994,October 1994,November 1994,December 1994,January 1995,February 1995,March 1995,April 1995,May 1995,June 1995,July 1995,August 1995,September 1995,October 1995,November 1995,December 1995,January 1996,February 1996,March 1996,April 1996,May 1996,June 1996,July 1996,August 1996,September 1996,October 1996,November 1996,December 1996,January 1997,February 1997,March 1997,April 1997,May 1997,June 1997,July 1997,August 1997,September 1997,October 1997,November 1997,December 1997,January 1998,February 1998,March 1998,April 1998,May 1998,June 1998,July 1998,August 1998,September 1998,October 1998,November 1998,December 1998,January 1999,February 1999,March 1999,April 1999,May 1999,June 1999,July 1999,August 1999,September 1999,October 1999,November 1999,December 1999,January 2000,February 2000,March 2000,April 2000,May 2000,June 2000,July 2000,August 2000,September 2000,October 2000,November 2000,December 2000,January 2001,February 2001,March 2001,April 2001,May 2001,June 2001,July 2001,August 2001,September 2001,October 2001,November 2001,December 2001,January 2002,February 2002,March 2002,April 2002,May 2002,June 2002,July 2002,August 2002,September 2002,October 2002,November 2002,December 2002,January 2003,February 2003,March 2003,April 2003,May 2003,June 2003,July 2003,August 2003,September 2003,October 2003,November 2003,December 2003,January 2004,February 2004,March 2004,April 2004,May 2004,June 2004,July 2004,August 2004,September 2004,October 2004,November 2004,December 2004,January 2005,February 2005,March 2005,April 2005,May 2005,June 2005,July 2005,August 2005,September 2005,October 2005,November 2005,December 2005,January 2006,February 2006,March 2006,April 2006,May 2006,June 2006,July 2006,August 2006,September 2006,October 2006,November 2006,December 2006,January 2007,February 2007,March 2007,April 2007,May 2007,June 2007,July 2007,August 2007,September 2007,October 2007,November 2007,December 2007,January 2008,February 2008,March 2008,April 2008,May 2008,June 2008,July 2008,August 2008,September 2008,October 2008,November 2008,December 2008,January 2009,February 2009,March 2009,April 2009,May 2009,June 2009,July 2009,August 2009,September 2009,October 2009,November 2009,December 2009,January 2010,February 2010,March 2010,April 2010,May 2010,June 2010,July 2010,August 2010,September 2010,October 2010,November 2010,December 2010,January 2011,February 2011,March 2011,April 2011,May 2011,June 2011,July 2011,August 2011,September 2011,October 2011,November 2011,December 2011,January 2012,February 2012,March 2012,April 2012,May 2012,June 2012,July 2012,August 2012,September 2012,October 2012,November 2012,December 2012,January 2013,February 2013,March 2013,April 2013,May 2013,June 2013,July 2013,August 2013,September 2013,October 2013,November 2013,December 2013,January 2014,February 2014,March 2014,April 2014,May 2014,June 2014,July 2014,August 2014,September 2014,October 2014,November 2014,December 2014,January 2015,February 2015,March 2015,April 2015,May 2015,June 2015,July 2015,August 2015,September 2015,October 2015,November 2015,December 2015,January 2016,February 2016,March 2016,April 2016,May 2016,June 2016,July 2016,August 2016,September 2016,October 2016,November 2016,December 2016,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017,September 2017,October 2017,November 2017,December 2017,January 2018,February 2018,March 2018,April 2018,May 2018,June 2018,July 2018,August 2018,September 2018,October 2018,November 2018,December 2018,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022,January 2023,February 2023,March 2023,April 2023,May 2023,June 2023,July 2023,August 2023,September 2023,October 2023,November 2023,December 2023,January 2024,February 2024,March 2024,April 2024,May 2024,June 2024,July 2024,August 2024,September 2024,October 2024,November 2024,December 2024,January 2025,February 2025,March 2025,April 2025,May 2025,June 2025,July 2025,August 2025,September 2025
CPI,52.0,53.0,53.1,53.7,54.6,54.8,55.3,56.5,56.7,57.6,57.0,58.1,59.3,59.6,59.5,59.0,59.4,59.5,59.8,61.1,61.2,61.5,63.1,65.0,65.5,63.8,63.0,62.2,62.3,62.2,62.0,62.7,61.6,62.7,64.2,64.2,64.8,65.1,63.9,65.3,64.9,65.3,65.9,67.3,67.7,68.3,67.8,68.6,69.7,66.3,65.3,65.1,65.5,66.4,67.3,69.2,68.3,69.8,69.0,69.4,70.3,69.6,68.6,68.3,68.7,70.9,71.8,71.0,71.4,72.4,73.2,72.9,74.6,74.9,75.1,75.6,76.8,76.6,76.9,76.3,76.4,76.4,77.8,79.0,79.4,77.1,76.4,77.6,78.2,78.0,78.4,77.8,77.9,78.1,78.8,79.2,80.2,80.2,79.8,80.1,79.4,79.4,80.1,81.4,80.6,81.5,82.5,83.2,83.7,82.0,80.8,82.0,81.6,80.3,83.8,84.9,84.7,82.8,83.2,84.1,85.1,83.7,82.0,83.0,83.2,82.7,85.0,85.0,85.1,85.7,86.0,88.3,87.1,85.7,83.0,82.0,82.5,81.9,83.1,83.5,84.2,84.3,83.6,84.9,84.5,83.4,82.7,82.5,82.6,83.4,84.5,84.4,84.5,84.5,84.9,84.5,84.1,83.0,82.0,82.0,83.5,83.9,84.2,83.7,83.9,83.6,84.6,85.7,85.8,84.6,82.9,82.9,83.9,83.9,85.2,86.0,85.9,87.8,86.3,87.0,86.9,85.1,84.5,84.0,84.2,84.6,84.5,85.5,86.6,88.2,87.6,88.6,88.8,87.6,86.9,87.3,88.4,87.4,87.6,88.6,88.6,89.0,89.1,90.4,91.0,89.8,87.6,88.1,89.4,88.6,91.6,90.7,91.2,90.6,91.5,92.9,92.0,90.8,89.3,89.5,91.7,91.4,93.4,92.5,92.5,92.0,91.5,93.1,93.0,90.7,90.2,89.9,90.5,90.5,91.3,91.1,91.5,92.0,93.3,94.7,95.4,93.7,92.9,92.6,93.7,95.2,95.9,96.8,98.5,99.1,99.8,100.0,100.7,98.7,97.6,96.7,97.5,99.2,101.3,102.4,101.1,101.4,100.0,100.2,101.2,98.7,98.0,97.0,99.2,99.5,102.2,102.1,102.2,101.3,102.4,103.1,102.7,100.1,99.3,99.5,101.6,101.9,102.9,103.0,102.6,102.8,104.2,105.8,105.1,104.6,103.7,104.7,105.9,106.2,106.1,106.4,106.6,107.8,107.8,108.0,107.6,106.3,106.0,106.0,107.4,108.1,109.9,109.4,109.7,109.3,109.6,110.4,110.3,109.5,109.6,110.8,111.1,110.9,112.3,115.1,114.3,114.4,114.7,114.6,113.9,111.8,111.4,111.2,111.9,112.7,114.1,114.6,114.2,114.7,116.1,117.4,117.8,117.9,117.7,118.5,121.5,122.1,122.9,124.3,124.5,124.5,125.6,125.5,125.2,124.0,122.0,121.2,123.4,124.0,124.3,125.1,125.1,125.6,126.3,126.5,126.7,125.8,125.4,124.1,124.3,125.6,126.9,127.2,130.8,130.0,129.9,130.9,132.1,131.2,129.8,129.3,131.1,131.2,132.1,132.5,131.9,131.8,132.8,133.6,134.6,133.7,131.5,131.9,133.4,132.9,133.0,135.1,133.5,133.5,134.3,134.5,133.6,133.3,132.4,131.6,133.7,132.1,132.8,134.7,134.4,135.4,136.2,137.3,137.1,135.6,135.0,135.2,137.4,138.6,139.6,140.5,140.2,140.9,141.5,141.6,141.5,140.9,140.7,141.3,141.2,142.0,144.5,146.1,145.6,144.0,143.1,141.6,141.7,140.1,139.4,138.2,139.6,139.2,141.4,140.5,141.0,141.1,142.4,143.1,143.3,141.8,139.6,138.7,140.6,141.4,142.3,142.4,141.3,141.5,141.1,142.6,142.6,141.1,140.0,139.4,141.8,143.8,144.3,145.8,145.3,144.4,145.2,146.4,147.3,145.9,144.6,143.9,146.6,147.8,149.6,149.5,148.0,150.6,150.7,151.4,151.2,148.9,146.3,148.1,148.8,148.2,149.5,152.0,149.5,149.9,151.0,150.8,152.4,152.1,152.3,153.6,155.0,156.4,158.1,161.4,161.6,164.3,165.8,165.9,165.8,167.7,170.3,171.3,173.8,172.9,176.2,177.9,178.8,180.0,181.0,182.6,182.5,181.2,180.6,180.4,181.3,182.3,182.9,182.8,182.3,181.7,183.9,182.9,183.6,183.8,183.5,181.5,183.7,184.0,185.5,185.9,188.0,187.7,189.4,188.7,190.1,190.1,190.0
