Address,Price
Ahuntsic-Cartierville,
Anjou,
Baie-D'Urfé,
Beaconsfield,
Boucherville,
Brossard,
Châteauguay,
Côte-des-Neiges,
Côte-Saint-Luc,
Dollard-des-Ormeaux,
Dorval,
Hampstead,
Kahnawake,
Kirkland,
L'Ile-Bizard,
L'Ile-Dorval,
L'Ile-Perrot,
Lachine,
LaSalle,
Laval,
Longueuil,
Mercier-Hochelaga-Maisonneuve,
Mont-Royal,
Montréal-Est,
Montréal-Nord,
Montréal-Ouest,
Notre-Dame-de-l'Ile-Perrot,
Pierrefonds-Roxboro,
Plateau-Mont-Royal,
Pointe-Claire,
Rivière-des-Prairies–Pointe-aux-Trembles,
Rosemont–La Petite-Patrie,
Saint-Lambert,
Saint-Laurent,
Saint-Léonard,
Sainte-Anne-de-Bellevue,
Sainte-Geneviève,
Senneville,
Sud-Ouest,
Verdun,
Ville-Marie,
Villeray–Saint-Michel–Parc-Extension,
Westmount,
